title,abstract,year,author,doi,generated_abstract,bertscore_f1
Implementation of IoT Based Waste Segregation and Collection System,"Waste management is a challenging problem for most of the countries. The current waste segregation and the collection method are not efficient and cost-effective. In this paper, a prototype is presented for smart waste management. It is also capable of waste segregation at the ground level and providing real-time data to the administrator. Impact and cost analysis of the deployment of smartbin is also presented considering one ward of Ahmedabad Municipal Corporation. It is clear from that deployment of this smartbin will save about 40% of the current expenditure for that ward.",2019.0,Bhupendra Fataniya,https://doi.org/10.24425/ijet.2019.129816,"This doctoral thesis investigates the implementation of Internet of Things (IoT)-based waste segregation and collection systems in India, with a focus on optimizing waste management services. The study employs a mixed-methods approach, combining surveys, interviews, and data analysis to gather primary and secondary data from various stakeholders. By contributing to existing literature on IoT-based waste management and its implementation in developing countries, this research aims to provide insights for policymakers, urban planners, and waste management professionals seeking effective solutions to address the challenges of waste segregation and collection in India.",0.7726478
Balancing Routine and Pandemic: The Synergy of India’s Universal Immunization Program and COVID-19 Vaccination Program,"The COVID-19 pandemic posed substantial challenges to healthcare systems globally and severely disrupted essential health services, including routine immunization programs. In India, these disruptions were exacerbated due to the sudden emergence of the pandemic and lockdown measures, leading to mass migrations and a shortage of healthcare workers. Caregivers' concerns about routine immunization sessions further compounded the problem, resulting in a sharp increase in zero-dose children. This review paper examines India's strategies for conducting one of the world's largest COVID-19 vaccination programs while effectively restoring and perpetuating its Universal Immunization Program (UIP). The UIP played a pivotal role in sustaining immunization services during the pandemic, ultimately improving immunization coverage compared to pre-pandemic levels. India's accomplishments in this regard are highlighted through key performance indicators, the reach of immunization services, a reduction in zero-dose children, and antigen-wise coverage. The paper also discusses the successful integration of COVID-19 vaccination within the UIP framework, underscoring the significance of existing infrastructure, technology, and capacity building. India's dedication to concurrently managing routine immunization and COVID-19 vaccination showcases the adaptability and resilience of its healthcare system. India's journey serves as a global example of efficient mass immunization during challenging times, emphasizing the importance of political will, healthcare infrastructure investment, skilled healthcare workforces, and comprehensive vaccination programs. In a world grappling with the dual challenge of COVID-19 and routine immunization, India's experience provides a roadmap for strengthening healthcare systems and promoting public health as the critical agenda in challenging times.",2023.0,Pawan Kumar,https://doi.org/10.3390/vaccines11121776,"This doctoral thesis explores the complex interplay between India's Universal Immunization Program and its COVID-19 vaccination program, examining how these two initiatives interact to promote population immunity. Through a mixed-methods approach combining quantitative analysis of vaccination coverage data with qualitative insights from community-level surveys, this research investigates the synergies and trade-offs between routine immunization and pandemic preparedness efforts. By contributing to our understanding of the intricate relationships between vaccine programs and public health infrastructure, this study sheds light on the critical role of balancing routine immunization with pandemic response strategies in achieving optimal population immunity outcomes.",0.8084472
A descriptive grammar of Denjongke (Sikkimese Bhutia),"This thesis is a descriptive grammar of Denjongke, or Sikkimese Bhutia (also known as Lhoke or Sikkimese) (ISO 639-3 sip), an endangered Tibeto-Burman, Tibetic language spoken in the Indian state of Sikkim. The study is based on original fieldwork conducted over more than six years. The theoretical framework is functionalist-typological and may further be characterized as an application of Basic Linguistic Theory. The discussion is data-oriented and aims to describe Denjongke in its own terms. &#13;\n&#13;\nThe thesis begins with an introduction to the language and the people who speak it and continues with a description of phonology and an introduction to word classes, suffixes and clitics. The remainder of the grammar presents a mainly functionally-oriented description, starting with phrase-level syntax and proceeding through clausal syntax to discourse. The last chapter on vocabulary and the texts in the appendix provide a cultural window into Denjongke speakers' life. &#13;\n&#13;\nDenjongke is an incipient tone language with 43 consonants and eight vowels. Nasalization and length are contrastive in vowels. The analysis establishes four major word classes (nouns, verbs, adjectives and adverbs) and eleven minor word classes. Many nouns and verbs have ordinary and honorific equivalents. Controlled vs. non-controlled verbs occur in phonologically related pairs. Unlike many Tibetic languages, Denjongke does not make a clusivity distinction in first person plural pronouns. There are five case-marking enclitics some of which may be stacked. &#13;\n&#13;\nIn syntax, the marking of A argument shows signs of both syntactic and pragmatic control. The marking of P argument is sensitive to animacy, specificity and affectedness. Denjongke has a rich array of copula forms, which mark three evidential values: personal, sensorial and neutral. The semantically oriented category “personal” differs from the more syntactically-oriented Lhasa Tibetan category “egophoric”.&#13;\n&#13;\nDenjongke is a clause-chaining language and has a wide variety of adverbial clauses, which are expressed through various constructions, including ten converbs. Relative clauses are a subclass of genitive-marked constituent-modifying clauses. Denjongke is rich in ideophones, i.e. vividly descriptive words which are semantically, phonologically and morphologically distinct from other words.",2019.0,Juha Yliniemi,,"This doctoral thesis presents a descriptive grammar of Denjongke, a Sikkimese dialect spoken in the Indian state of Sikkim. Employing a comprehensive analysis of linguistic data collected from native speakers, this research aims to provide an in-depth understanding of the phonological, morphological, and syntactic structures of Denjongke, shedding light on its unique characteristics within the Bhutia branch of the Himalayan languages. By contributing to the existing knowledge on Sikkimese linguistics and providing a detailed description of Denjongke's grammatical features, this study seeks to advance our understanding of the complexities of language in the Himalayas.",0.7758986
Demanda por pescados no Brasil entre 2002 e 2003,"Per capita consumption of fish in Brazil is relatively small as compared to other animal proteins. On the supply side, this phenomenon can be explained by several factors such as: low national fish production, the distance between fish supply regions and the main consumptions centers etc. This study analyses the influence of prices and population income on the demand of fish in Brazil. First, the problem of fish supply in Brazil is characterized. It is followed by reviews of the relevant economic theory and the methods of the function and the elasticity calculations for a functional form known by Almost Ideal Demand System -AIDS. A descriptive analysis of fish demand in Brazil using the microdata called the Familiar Budget Research -POF 2002-2003 is presented. Finally, demand functions and their elasticities are calculated for two different cases: one considering 5 groups of animal proteins and other with 7 groups of food categories. These functions are estimated for Brazil as a whole and two macro-regions: Northnortheast and Center-South. The main results are: per capita consumption of fish is low in Brazil because few households consume fish. The pattern of fish consumption in the North-Northeast Region is different as compared to the Center-South. The main substitutes for fish are the processed proteins and not the traditional types of meat as chicken and red meat. For high income households located mainly in Center-South Region, fish are mainly purchased in supermarkets. However, small commercial establishments are still important in the fish retail market, especially in the North-Northeast.",2007.0,Daniel Yokoyama Sonoda,https://doi.org/10.11606/t.11.2007.tde-28022007-151841,"This doctoral thesis examines the demand for fish in Brazil between 2002 and 2003, with a focus on the role of international trade and domestic consumption patterns. Using a mixed-methods approach combining secondary data analysis and surveys, this research investigates the factors influencing seafood market trends and consumer behavior during that period. The study contributes to our understanding of the complex dynamics driving fish demand in Brazil, shedding light on its implications for sustainable fisheries management and food security policies.",0.7726633
PENGARUH MODEL PROBLEM BASED LEARNINGBERBANTUAN MEDIA WORDWALL TERHADAP HASILBELAJAR IPAS KELAS V SDN 029 CILENGKRANGKOTA BANDUNG,"Penelitian ini dilatarbelakangi oleh rendahnya hasil belajar IPAS peserta didik kelas V di SDN 029 Cilengkrang Kota Bandung yang berada di bawah KKTP sebesar 70, karena proses pembelajaran cenderung berpusat pada guru dan minimnya penggunaan media pembelajaran. Penelitian ini bertujuan untuk mengetahui pengaruh model Problem Based Learning (PBL) berbantuan media Wordwall terhadap hasil belajar IPAS. Metode yang digunakan adalah quasi eksperimen dengan desain nonequivalent control group. Sampel penelitian terdiri atas 27 orang peserta didik di kelas eksperimen dan 27 orang peserta didik di kelas kontrol. Data dikumpulkan melalui tes hasil belajar (pretest dan posttest) yang dianalisis menggunakan uji normalitas, uji homogenitas, ujit dan uji effect size. Hasil penelitian menunjukkan uji-t untuk nilai rata-rata pretest di kedua kelas sebesar 0,148 berdasarkan nilai sig > 0,05 maka Ho diterima dan Ha ditolak yang artinya tidak terdapat pengaruh model PBL berbantuan media Wordwall terhadap hasil belajar IPAS kelas V di SDN 029 Cilengkrang Kota Bandung. Sedangkan untuk hasil uji-t pada nilai rata-rata posttest dikedua kelas sebesar 0,000 berdasarkan nilai sig < 0,05 maka Ha diterima dan Ho ditolak yang berati terdapat pengaruh yang signifikan model PBL berbantuan media Wordwall terhadap hasil belajar IPAS kelas V di SDN 029 Cilengkrang Kota Bandung. Untuk uji effect size menghasilkan 1,796 yang memiliki effect yang besar. Hasil lembar observasi aktivitas peserta didik menunjukkan persentase sebesar 79,5% pada kelas eksperimen dan 73% pada kelas kontrol yang berarti hasil tersebut memiliki kategori cukup baik. Berdasarkan hasil penelitian tersebut, maka dapat disimpulkan bahwa pengaruh model PBL berbantuan Wordwall terhadap hasil belajar IPAS Kelas V SDN 029 Cilengkrang Kota Bandung memiliki pengaruh yang besar. Kata kunci: Problem Based Learning, Wordwall, Hasil belajar, IPAS, SD.",2025.0,"Shandi Yoga Fadilla, 215060060",,"This doctoral thesis investigates the impact of WordWall-based learning buddy models on student achievement in a specific educational setting. The study employed a mixed-methods approach, combining both quantitative and qualitative data collection methods to analyze the effects of WordWall-based learning buddies on students' performance in an Indonesian secondary school (SDN 029 Cilek Krangkota Bandung). This research contributes to the existing literature by exploring the potential benefits of collaborative learning environments in promoting student learning outcomes.",0.6021638
"Who Gains, who loses? : the impact of market liberalisation on rural households in Northwestern Kenya","Keywords:Market liberalisation, rural households, traders,Kenya, market integration, cointegration analysis, difference-in-difference approach, farmer response.Most countries in Sub-Saharan Africa, includingKenya, liberalised their agricultural commodity markets in the 1980s and 1990s as a strategy to increase marketing efficiency. In this thesis, we provide an account of the impacts of market liberalisation on households inNorthwestern Kenya, a maize surplus producing region. We apply several analytical frameworks including descriptive statistics, structure, conduct and performance modeling, cointegration and error correction modeling approaches, double differencing and multinomial probit regression to both primary and secondary data.A descriptive review of the market liberalisation process indicates that commodity markets are liberalised. This is particularly evidenced by the increased number of traders across the four commodity markets (fertiliser, seed, maize and milk) examined. However, the markets are only partially liberalised since there is still some government active participation in some markets like maize and milk.&nbsp;An analysis of the structure, conduct and performance of the four commodity markets shows that the markets are competitive. This is evidenced by low trader concentration levels and marketing margins. Furthermore, there is no evidence of collusion among traders in terms of pricing or limiting market supply despite financial and structural constraints that limit firm expansion. The ensuing increased private trader participation in commodity markets partly explains the observed marketing integration among maize wholesale markets, and a positive and strong aggregate supply response both in the short- and long-run.By comparing farming activities of maize producing households in 1992 and 2003 by using panel data, we find that on-farm diversification and commercialisation have increased. In particular, fertiliser use increased dramatically in terms of number of households using fertiliser and the rate of use. Furthermore, the number of households participating in maize marketing increased from 40 percent in 1992 to 70 percent in 2003. Area under maize, distance to the market, rate of basal fertiliser use and household size are the major factors that influence household participation/non-participation in maize markets.Overall, the study shows that market liberalisation could be beneficial to households if constraints traders face could be eliminated and that the government has lost revenue because of its reduced role in commodity marketing activities.",2007.0,Lawrence Obae Mose,https://doi.org/10.18174/30963,"This doctoral thesis examines the impact of market liberalisation on rural households in Northwestern Kenya, with a focus on who gains and who loses from this process. Through a mixed-methods approach combining quantitative analysis of household expenditure data and qualitative interviews with local stakeholders, this research investigates how market liberalisation affects access to essential services, economic opportunities, and social well-being among rural households in the region. The study contributes to our understanding of the complex dynamics of market liberalisation and its effects on vulnerable populations, shedding light on the need for targeted policies and interventions to mitigate negative consequences.",0.7590516
"Land rental market and off-farm employment: rural households in Jiangxi Province, P.R. China","In ruralChina, agricultural production factor markets, particularly land and labour, face many institutional obstacles and remain largely underdeveloped. Further growth in agricultural productivity and rural household incomes, and thus a reduction in rural-urban income inequality are likely to depend on increases in rural land and labour productivity, and therefore require the development of land and labour markets. Previous research regarding factor market development and agricultural production in ruralChinahas often focused on either the land or the labour market. However, the recent increases of both land rental transactions and off-farm employment suggest that households may make simultaneous decisions on land and labour market participation. Analysing these phenomena therefore requires a simultaneous approach.This study provides a quantitative analysis of the factors determining the participation of farm households in rural land and off-farm labour markets, and the consequences of participation in these markets for allocative efficiency and agricultural productivity inSoutheast China. It contributes to the previous literature by analysing the inter-relationship of household land and labour market participation, investigating the determinants of joint household land and labour market participation, examining the allocative efficiency and separability of household decision making for different land and labour market participation regimes, and exploring the implications of participation in land and labour markets for short-term land investment, input use and land productivity.A farm household model approach is applied, using data collected from 329 rural households in three villages of Northeast Jiangxi province. The empirical analysis indicates that participation in the land rental market improves allocative efficiency and land productivity, while off-farm employment improves allocative efficiency but not land productivity. These findings suggest that reforming the household registration system and land tenure system, building local institutions, and implementing pro-poor policy interventions are likely to facilitate land rental market development, stimulate off-farm employment, thereby increasing agricultural productivity and rural household incomes and reducing rural-urban income inequality.",2006.0,Shuyi Feng,https://doi.org/10.18174/26296,"This doctoral thesis examines the complex relationships between land rental markets and off-farm employment in rural households of Jiangxi Province, P.R. China. Through a mixed-methods approach combining survey data from 2018 and in-depth interviews with 30 farmers, this study investigates how access to land affects their decision-making processes regarding off-farm employment, labor market participation, and income generation. The findings contribute to our understanding of the interplay between rural livelihoods, agricultural productivity, and social welfare policies in China's countryside.",0.8041787
ANUKARNA : a software engineering simulation game for teaching practical decision making in peer code review,"Application of educational and interactive simulation games to teach important concepts is an area that has attracted several Software Engineering researchers and educators attention. Previous research and studies on usage of simulation games in classroom to train students have demonstrated positive learning outcomes. Peer code review is a recommended best practice during software development which consists of systematically examining the source code of peers before releasing the software to Quality Assurance (QA). Practitioners and Researchers have proposed several best practices on various aspects of peer code review such as the size of code to be reviewed (in terms of lines of code), inspection rate and usage of checklists. We describe a single player educational simulation game to train students on best practices of peer code review. We define learning objectives, create a scenario in which the player plays the role of a project manager and a scoring system (as a factor of time, budget, quality and technical debt). We design a result screen showing the trace of events and reasoning (learning through success and failure as well as discovery) behind the points awarded to the player. We conduct a survey of the players by conducting a quiz before and after the game play and demonstrate the effectiveness of our approach. Keywords—Peer Code Review, Simulation Game, Software Engineering Education and Training, Teaching Critical Decision Making I. RESEARCH MOTIVATION AND AIM Software Engineering (SE) being a practice-oriented and applied field is taught primarily (at University Level) using instructor-driven classroom lectures as well as team-based projects requiring hands-on skills. In comparison to classroom lectures, team-based hands-on projects require more active participation and experiential learning. SE Educators have proposed and shown positive student learning outcomes by teaching certain concepts using simulation games. Some of the advantages of teaching using simulation games are incorporation of real-world dynamics such as critical decision making under multiple and conflicting goals, encountering unexpected and unanticipated events, allowing exploration of alternatives (discovery learning) and allowing incorporation of learning through doing and failure [1][2]. Peer code review consists of reviewing and critiquing team members source code in order to detect defects and improve the quality of the software [3][4][5][6][7]. Software code review is practiced in several open-source and closed-source software project settings. There are several best practices on various aspects of peer code review such as the code review size, coverage and rate. Code reviewer expertise, reviewer checklist and usage of tools (such as mailing lists, Gerrit or Rietveld) also play an important role in influencing the impact of code review on software quality [5][6]. The work presented in this paper is motivated by the need to teach the importance and best practices of peer code review to students using a simulation game. The research aim of the work presented in this paper is the following: 1) To develop a web-based interactive educational SE simulation game or environment for teaching benefits and best-practices of peer-code review process. 2) To investigate a learning framework and model based on discovery learning, learning from failure, evidence and reasoning for teaching concepts on the practice of peer code review. 3) To evaluate the proposed learning framework and tool by conducting experiments and collecting feedback from users. II. RELATED WORK & RESEARCH CONTRIBUTIONS In this Section, we discuss closely related work and state our novel research contributions in context to the related work. We conduct a literature survey of papers published on the topic of teaching Software Engineering concepts using simulation games. Table I shows the result of our literature review. Table I lists 9 papers in reverse chronological order and reveals that teaching Software Engineering concepts using simulation games is an area that has attracted several researchers attention from the year 2000 until 2013. We characterize 9 papers based on the tool name, year, simulation topic, University and interface. We infer that teaching software engineering processes and project management are the two most popular target areas for simulation games. The game interfaces various from simple command line and menu driven model to animated and 3D interfaces. Researchers have also experimented with board games in addition to computer-based games. In context to closely related work, the study presented in this paper makes the following novel contributions: 1) While there has been work done in the area of teaching Software Engineering processes and project management skills, our work is the first in the area 1st International Workshop on Case Method for Computing Education (CMCE 2015) 63 TABLE I. RELATED WORK (SORTED IN REVERSE CHRONOLOGICAL ORDER) AND TOOLS ON TEACHING SOFTWARE ENGINEERING CONCEPTS USING SIMULATION GAMES SNo. Tool Name Year Simulation Topic University Interface 1 AMEISE [8] 2013 [Bollin’13] Managing a SE project (focussing on software quality) Alps-Adriatic University, Carinthia Tech Inst. and Linz University Menu based, Command Interface 2 DELIVER [9] 2012 [Wangenheim’12] Earned Value Management Federal University of Santa Catarina Board Game 3 ProMaSi [10] 2011 [Petalidis’11] Project Management T.E.I. of Central Macedonia, Serres-Greece Java based, Desktop environment 4 SimVBSE [11] 2006 [Jain’06] Value-based Software Engineering University of Southern California Animated, 3D interface 5 Problems and Programmers [12] 2005 [Baker’05] Software Engineering Processes University of California, Irvine Card Game 6 SimjavaSP [13] 2005 [Shaw’05] Software Process Knowledge University of Tasmania Menu-based, Graphical Interface 7 Incredible Manager [14] 2004 [Dantas’04] Project Management Experiential Learning Brazilian University Button Driven, Command Interface 8 SimSE [1] 2004 [Navarro’04] Software Engineering Processes University of California, Irvine Web-based, Graphical Interface 9 SESAM [15] 2000 [Drappa’00] Software project Management Stuttgart University, Germany Text Based, Pseudo-Natural Language Command Interface of building and investigating simulation games for teaching best practices for peer code review. 2) We propose a simulation game to teach peer code review practices based on learning by failure, success and discovery. We demonstrate the effectiveness of our approach, discuss the strengths and limitations of our tool based on conducting user experiments and collecting their feedback. III. GAME ARCHITECTURE AND DESIGN A. Learning Objectives In this game we define 12 learning objectives covering multiple aspects of peer code review. These learning objectives are captured in our pre game questions1 and post game questions2. Table II shows 6 of the 12 learning objectives (due to space constraint), corresponding decisions and the questions which we asked to the player in game. Table II shows the structure that we follow to design the game questions. Each question is designed keeping in mind the learning objectives of the game. Based on the learning objectives we come up with a situation or a decision which best questions that objective. An evaluation question is then formed around this decision which challenges the player’s knowledge to its best. We therefore present different situations to the player where they have to make decisions like whom to assign the task of review process (Figure 1), what inspection rate to choose (Figure 2), when to start with review, steps required to foster good code review culture in team etc. A decision can map to one or more learning objectives. Similarly two or more evaluation questions may map to one decision. B. Unexpected Events We introduce unexpected events and unforeseen circumstances (such as internal conflicts between the team members, attrition and change in deadline or demand from the customer) in the game to make it more realistic. Unexpected events are unobservable and our goal is to examine the response and the decision making ability of the player to unexpected circumstances. Figure 3 shows a screenshot for the simulation game in which the player is presented with an unexpected 1http://bit.ly/1ddyitO 2http://bit.ly/1GEdBBX situation. As shown in Figure 3, the project manager is encountered with a situation wherein a developer quits the team or organization just one month before the release date.",2015.0,Ritika Atal,,"This doctoral thesis, ANUKARNA, investigates the development of a software engineering simulation game for teaching practical decision making in peer code review. Utilizing a mixed-methods approach combining theoretical analysis and empirical testing, this research examines the effectiveness of ANUKARNA in promoting effective coding practices among students. By contributing to the existing literature on software engineering education and peer code review, ANUKARNA provides a novel tool for educators to enhance their teaching methods and improve student outcomes.",0.75680834
Hybrid Spectral-IRDx: Near-IR and Ultrasound Attenuation System for Differentiating Breast Cancer from Adjacent Normal Tissue,"OBJECTIVE: While performing surgical excision for breast cancer (lumpectomy), it is important to ensure a clear margin of normal tissue around the cancer to achieve complete resection. The current standard is histopathology; however, it is time-consuming and labour-intensive requiring skilled personnel. METHOD: We describe a Hybrid Spectral-IRDx - a combination of the previously reported Spectral-IRDx tool with multimodal ultrasound and NIR spectroscopy techniques. We show how this portable, cost-effective, minimal-contact tool could provide rapid diagnosis of cancer using formalin-fixed (FF) and deparaffinized (DP) breast biopsy tissues. RESULTS: Using this new tool, measurements were performed on cancerous/fibroadenoma and its adjacent normal tissues from the same patients (N=14). The acoustic attenuation coefficient () and reduced scattering coefficient (s) (at 850, 940, and 1060 nm) for the cancerous/fibroadenoma tissues were reported to be higher compared to adjacent normal tissues, a basis of delineation. Comparing FF cancerous and adjacent normal tissue, the difference in s at 850 nm and 940 nm were statistically significant (p=3.17e-2 and 7.94e-3 respectively). The difference in between the cancerous and adjacent normal tissues for DP and FF tissues were also statistically significant (p=2.85e-2 and 7.94e-3 respectively). Combining multimodal parameters and s (at 940 nm) show highest statistical significance (p=6.72e-4) between FF cancerous/fibroadenoma and adjacent normal tissues. CONCLUSION: We show that Hybrid Spectral-IRDx can accurately delineate between cancerous and adjacent normal breast biopsy tissue. SIGNIFICANCE: The results obtained establish the proof-of-principle and large-scale testing of this multimodal breast cancer diagnostic platform for core biopsy diagnosis.",2021.0,"Pal, U",,"This doctoral thesis investigates the development and validation of a hybrid spectral-IRDx system for differentiating breast cancer from adjacent normal tissue. Utilizing near-infrared spectroscopy (NIRS) and ultrasound elastography (USLE), this system integrates two complementary modalities to provide a comprehensive assessment of tissue characteristics, thereby enhancing diagnostic accuracy in breast cancer detection. The proposed system contributes to the development of novel non-invasive diagnostic tools for breast cancer, offering improved patient outcomes through more accurate and timely diagnosis.",0.76447046
HLA-SPREAD: a natural language processing based resource for curating HLA association from PubMed abstracts.,"Extreme complexity in the Human Leukocyte Antigens (HLA) system and its nomenclature makes it difficult to interpret and integrate relevant information for HLA associations with diseases, Adverse Drug Reactions (ADR) and Transplantation. PubMed search displays ~ 146,000 studies on HLA reported from diverse locations. Currently, IPD-IMGT/HLA (Robinson et al., Nucleic Acids Research 48:D948-D955, 2019) database houses data on 28,320 HLA alleles. We developed an automated pipeline with a unified graphical user interface HLA-SPREAD that provides a structured information on SNPs, Populations, REsources, ADRs and Diseases information. Information on HLA was extracted from ~ 28 million PubMed abstracts extracted using Natural Language Processing (NLP). Python scripts were used to mine and curate information on diseases, filter false positives and categorize to 24 tree hierarchical groups and named Entity Recognition (NER) algorithms followed by semantic analysis to infer HLA association(s). This resource from 109 countries and 40 ethnic groups provides interesting insights on: markers associated with allelic/haplotypic association in autoimmune, cancer, viral and skin diseases, transplantation outcome and ADRs for hypersensitivity. Summary information on clinically relevant biomarkers related to HLA disease associations with mapped susceptible/risk alleles are readily retrievable from HLASPREAD. The resource is available at URL http://hla-spread.igib.res.in/ . This resource is first of its kind that can help uncover novel patterns in HLA gene-disease associations.",2022.0,Dhwani Dholakia,https://doi.org/10.1186/s12864-021-08239-0,"This doctoral thesis investigates the development and application of a natural language processing based resource for curating Human Leukocyte Antigen (HLA) associations from PubMed abstracts. Utilizing a combination of machine learning algorithms and domain-specific ontologies, HLA-SPREAD aims to facilitate the accurate identification and curation of HLA associations in biomedical literature. By providing a standardized framework for the extraction and analysis of HLA information, HLA-SPREAD contributes to the development of more reliable and efficient methods for understanding the complex relationships between genetic variations and disease susceptibility.",0.7761953
Duchenne muscular dystrophy,Background: Duchenne muscular dystrophy (DMD) is the most common muscular dystrophy that affects young boys and the dystrophin gene on the X chromosome has been found to be associated with the disorder.,2020.0,Atcharayam Nalini,https://doi.org/10.26481/dis.20200423na,"This doctoral thesis examines the molecular and cellular mechanisms underlying Duchenne muscular dystrophy (DMD), a devastating genetic disorder affecting boys worldwide. Utilizing a combination of next-generation sequencing, bioinformatics analysis, and gene expression profiling, this study investigates the pathogenic mutations in the DMD-causing dystrophin-glycoprotein complex gene (DMPK) and their impact on cellular function and pathology. The findings contribute to a deeper understanding of the disease's molecular basis and highlight potential therapeutic targets for the treatment of DMD, with implications for the development of novel diagnostic tools and personalized medicine approaches.",0.78914946
Profesores entre la historia y la memoria: un estudio sobre la enseñanza de la transición dictadura-democracia en España,"La transición de la dictadura a la democracia en España ha sido una fase crucial de nuestra historia reciente. Durante este periodo se establecieron las bases fundamentales del sistema institucional y político, y su estudio resulta esencial para llegar a comprender la realidad actual. Sin embargo, la transición dictadura-democracia ocupa un espacio final en las programaciones durante la etapa de Educación Secundaria Obligatoria y, como hemos podido comprobar, son muchos los profesores de historia que reconocen no trabajarla en sus clases.\tEn esta investigación nos centramos en el pensamiento de los docentes de historia en torno a este periodo histórico y sus particularidades. Partimos del supuesto de que el docente, como profesional reflexivo y capaz, es uno de los principales protagonistas del proceso de enseñanza-aprendizaje; de manera que indagar en sus pensamientos y teorías, y en las oportunidades y barreras que encuentra a la hora de trabajar la Transición, resulta esencial para conocer el estado de la cuestión en las aulas españolas y proponer mejoras curriculares.\t&#13;\nSe han levantado 39 entrevistas a profesores de siete ciudades en siete comunidades autónomas españolas, atendiendo a las variables de centro (público y concertado), edad (menores y mayores de 45 años, con recuerdos directos de la Transición) y género. Dichas entrevistas fueron analizadas con ayuda del programa de análisis cualitativo ATLAS.ti., en base a las siguientes categorías iniciares sobre el pensamiento del profesorado: Conocimiento de la materia, Conocimiento didáctico de la materia y Conocimiento sobre las finalidades de enseñanza de la materia.",2013.0,Rosendo Martínez Rodríguez,https://doi.org/10.35376/10324/4100,"This doctoral thesis examines the role of teachers in shaping the transition from dictatorship to democracy in post-authoritarian Spain, with a focus on the pedagogical approaches employed by educators during this period. Drawing on historical and sociocultural analysis, the research employs a qualitative case study methodology to investigate the teaching practices of 20 teachers who participated in a teacher training program aimed at promoting democratic values and civic education in the aftermath of the transition. By analyzing the teachers' narratives and pedagogical strategies, this thesis contributes to a deeper understanding of the complex relationships between historical contexts, social change, and educational reform in post-authoritarian societies.",0.5953976
"Análisis paleoambiental y estratigrafía secuencial de la Formación Mulichinco (Valanginiano), en el sector septentrional de la provincia del Neuquén, Cuenca Neuquina, Argentina","En este trabajo de tesis doctoral se aplican en primer lugar técnicas de probada eficacia en la sedimentología física para caracterizar e interpretar los ambientes de acumulación de la Formación Mulichinco. En segundo lugar se desarrolla un análisis secuencial para establecer un esquema estratigráfico-secuencial consistente de la unidad, generar una reconstrucción paleogeográfica para distintos intervalos y, por último, ponderar los factores de control que han motivado la aparición y evolución de la unidad. La Formación Mulichinco se acumuló durante el Valanginiano (Cretácico Temprano) en la Cuenca Neuquina y actualmente aflora en la región centro-norte de la Provincia del Neuquén, área de estudio de esta investigación. Está compuesta por una sucesión sedimentaria que incluye a rocas de variado origen, desde clásticas continentales hasta marinas profundas, e inclusive calizas fosilíferas. Su contraste con las unidades infra y suprayacentes es muy elevado, puesto que en general son mucho más monótonas y acumuladas en ambientes de centro de cuenca. Por lo tanto, se asume que la aparición de la Formación Mulichinco estuvo relacionada con cambios geodinámicos significativos dentro de la cubeta y, posiblemente, también con fenómenos litósfericos en el margen suroccidental de Gondwana.",2003.0,Ernesto Schwarz,https://doi.org/10.35537/10915/4583,"Análisis paleoambiental y estratigrafía secuencial de la Formación Mulichinco (Valanginiano), en el sector septentrional de la provincia del Neuquén, Cuenca Neuquina, Argentina

This doctoral thesis investigates the paleoenvironmental analysis and sequential stratigraphic study of the Mulichinco Formation (Valanginian), located in the northern sector of the Neuquén Province, Cuenca Neuquina, Argentina. Employing a multidisciplinary approach combining geological mapping, sedimentological analysis, and paleoclimatic modeling, this research provides new insights into the environmental conditions and tectonic evolution of the region during the Valanginian period. The results contribute to our understanding of the regional paleoenvironmental context and its implications for the development of the Cuenca Neuquina basin.",0.740123
Strange Riches: Bengal in the Mercantile Map of South Asia,"This book attempts to understand the commercial and social history of erstwhile Bengal in terms of its links with it neighbouring countries in the northern region of the Bay of Bengal. It touches upon the key issues in both maritime and territorial history such as the early medieval trade revolution and its impact on the borders of Bengal.The discussion focusses on Southeast Bengal - the most economically developed area of Bengal in terms of transport networks, agriculture, artisan products and trade. Most of this area underwent two major transformations in the twentieth century: once as a result of the formation of East Pakistan in 1947 and a second time after the formation of Bangladesh in 1971. The volume concludes with certain major issues of concern between India and Bangladesh at the turn of the twenty-first century",2006.0,Rila Mukherjee,,"This doctoral thesis, ""Strange Riches: Bengal in the Mercantile Map of South Asia"", examines the complex and multifaceted representation of Bengal in the early modern mercantile map of South Asia. Through a critical analysis of cartographic sources from the 16th to 18th centuries, this research investigates how Bengal's economic, cultural, and political significance was represented and negotiated by European traders and colonial powers. By contributing to a nuanced understanding of the historical construction of Bengal as a ""strange rich"" entity, this thesis sheds new light on the complex dynamics of colonialism, trade, and cultural exchange in South Asia during this period.",0.77751875
